VendorID,Name,Email,Phone,Country
VEND001,Vendor 1,vendor1@supply.com,+1-212-555-2001,Germany
VEND002,Vendor 2,vendor2@supply.com,+1-212-555-2002,Germany
VEND003,Vendor 3,vendor3@supply.com,+1-212-555-2003,Germany
VEND004,Vendor 4,vendor4@supply.com,+1-212-555-2004,India
VEND005,Vendor 5,vendor5@supply.com,+1-212-555-2005,China
VEND006,Vendor 6,vendor6@supply.com,+1-212-555-2006,India
VEND007,Vendor 7,vendor7@supply.com,+1-212-555-2007,Germany
VEND008,Vendor 8,vendor8@supply.com,+1-212-555-2008,USA
VEND009,Vendor 9,vendor9@supply.com,+1-212-555-2009,UK
VEND010,Vendor 10,vendor10@supply.com,+1-212-555-2010,USA
VEND011,Vendor 11,vendor11@supply.com,+1-212-555-2011,Germany
VEND012,Vendor 12,vendor12@supply.com,+1-212-555-2012,UK
VEND013,Vendor 13,vendor13@supply.com,+1-212-555-2013,USA
VEND014,Vendor 14,vendor14@supply.com,+1-212-555-2014,Germany
VEND015,Vendor 15,vendor15@supply.com,+1-212-555-2015,USA
VEND016,Vendor 16,vendor16@supply.com,+1-212-555-2016,UK
VEND017,Vendor 17,vendor17@supply.com,+1-212-555-2017,China
VEND018,Vendor 18,vendor18@supply.com,+1-212-555-2018,USA
VEND019,Vendor 19,vendor19@supply.com,+1-212-555-2019,China
VEND020,Vendor 20,vendor20@supply.com,+1-212-555-2020,China
VEND021,Vendor 21,vendor21@supply.com,+1-212-555-2021,Germany
VEND022,Vendor 22,vendor22@supply.com,+1-212-555-2022,USA
VEND023,Vendor 23,vendor23@supply.com,+1-212-555-2023,UK
VEND024,Vendor 24,vendor24@supply.com,+1-212-555-2024,China
VEND025,Vendor 25,vendor25@supply.com,+1-212-555-2025,India
VEND026,Vendor 26,vendor26@supply.com,+1-212-555-2026,India
VEND027,Vendor 27,vendor27@supply.com,+1-212-555-2027,USA
VEND028,Vendor 28,vendor28@supply.com,+1-212-555-2028,UK
VEND029,Vendor 29,vendor29@supply.com,+1-212-555-2029,USA
VEND030,Vendor 30,vendor30@supply.com,+1-212-555-2030,India
VEND031,Vendor 31,vendor31@supply.com,+1-212-555-2031,UK
VEND032,Vendor 32,vendor32@supply.com,+1-212-555-2032,India
VEND033,Vendor 33,vendor33@supply.com,+1-212-555-2033,China
VEND034,Vendor 34,vendor34@supply.com,+1-212-555-2034,Germany
VEND035,Vendor 35,vendor35@supply.com,+1-212-555-2035,China
VEND036,Vendor 36,vendor36@supply.com,+1-212-555-2036,UK
VEND037,Vendor 37,vendor37@supply.com,+1-212-555-2037,China
VEND038,Vendor 38,vendor38@supply.com,+1-212-555-2038,UK
VEND039,Vendor 39,vendor39@supply.com,+1-212-555-2039,UK
VEND040,Vendor 40,vendor40@supply.com,+1-212-555-2040,UK
VEND041,Vendor 41,vendor41@supply.com,+1-212-555-2041,USA
VEND042,Vendor 42,vendor42@supply.com,+1-212-555-2042,UK
VEND043,Vendor 43,vendor43@supply.com,+1-212-555-2043,China
VEND044,Vendor 44,vendor44@supply.com,+1-212-555-2044,USA
VEND045,Vendor 45,vendor45@supply.com,+1-212-555-2045,UK
VEND046,Vendor 46,vendor46@supply.com,+1-212-555-2046,UK
VEND047,Vendor 47,vendor47@supply.com,+1-212-555-2047,UK
VEND048,Vendor 48,vendor48@supply.com,+1-212-555-2048,India
VEND049,Vendor 49,vendor49@supply.com,+1-212-555-2049,India
VEND050,Vendor 50,vendor50@supply.com,+1-212-555-2050,UK
